Region,Month,Variable,Confidence Interval
Anti,1,Call_HDD,"(50.664250781797115, 106.31386166066542)"
Anti,1,Put_HDD,"(-7.145788436066061, 7.145788436066061)"
Anti,1,Call_CDD,"(13.925453160134063, 44.73231791966786)"
Anti,1,Put_CDD,"(-8.68847047402119, 8.68847047402119)"
Anti,2,Call_HDD,"(164.5481053879947, 222.08467694216998)"
Anti,2,Put_HDD,"(-7.388087017493161, 7.388087017493161)"
Anti,2,Call_CDD,"(-15.925730212695806, 15.925730212695806)"
Anti,2,Put_CDD,"(39.98245497073978, 57.948611255749384)"
Anti,3,Call_HDD,"(-27.82480543943415, 27.82480543943415)"
Anti,3,Put_HDD,"(-0.2908425508361434, 14.00073432129598)"
Anti,3,Call_CDD,"(68.44662734215355, 99.25349210168734)"
Anti,3,Put_CDD,"(-8.68847047402119, 8.68847047402119)"
Anti,4,Call_HDD,"(-28.284750738406313, 28.284750738406313)"
Anti,4,Put_HDD,"(28.19980627807121, 42.72762356566803)"
Anti,4,Call_CDD,"(73.38040038889821, 104.69650402354512)"
Anti,4,Put_CDD,"(-8.832091285979175, 8.832091285979175)"
Anti,5,Call_HDD,"(-27.82480543943415, 27.82480543943415)"
Anti,5,Put_HDD,"(43.61773576188444, 57.909312634016565)"
Anti,5,Call_CDD,"(102.17101172357658, 132.97787648311038)"
Anti,5,Put_CDD,"(-8.68847047402119, 8.68847047402119)"
Anti,6,Call_HDD,"(-28.284750738406313, 28.284750738406313)"
Anti,6,Put_HDD,"(5.908081415781859, 20.435898703378683)"
Anti,6,Call_CDD,"(-15.658051817323452, 15.658051817323452)"
Anti,6,Put_CDD,"(-1.1531661808803655, 16.511016391077984)"
Anti,7,Call_HDD,"(-5.161064261497923, 50.488546617370375)"
Anti,7,Put_HDD,"(-7.145788436066061, 7.145788436066061)"
Anti,7,Call_CDD,"(48.088389266502205, 78.895254026036)"
Anti,7,Put_CDD,"(-8.68847047402119, 8.68847047402119)"
Anti,8,Call_HDD,"(-27.82480543943415, 27.82480543943415)"
Anti,8,Put_HDD,"(28.652049031362367, 42.94362590349449)"
Anti,8,Call_CDD,"(64.93415315571154, 95.74101791524534)"
Anti,8,Put_CDD,"(-8.68847047402119, 8.68847047402119)"
Anti,9,Call_HDD,"(-28.284750738406313, 28.284750738406313)"
Anti,9,Put_HDD,"(45.14020963852369, 59.66802692612051)"
Anti,9,Call_CDD,"(82.12290860068858, 113.43901223533548)"
Anti,9,Put_CDD,"(-8.832091285979175, 8.832091285979175)"
Anti,10,Call_HDD,"(10.386548745753835, 66.03615962462214)"
Anti,10,Put_HDD,"(-7.145788436066061, 7.145788436066061)"
Anti,10,Call_CDD,"(-15.403432379766896, 15.403432379766896)"
Anti,10,Put_CDD,"(40.71230795085232, 58.08924889889471)"
Anti,11,Call_HDD,"(-17.29299278566291, 39.276508691149715)"
Anti,11,Put_HDD,"(-7.263908643798412, 7.263908643798412)"
Anti,11,Call_CDD,"(-10.37770296917601, 20.938400665470894)"
Anti,11,Put_CDD,"(-8.832091285979175, 8.832091285979175)"
Anti,12,Call_HDD,"(213.09268393380992, 268.7422948126782)"
Anti,12,Put_HDD,"(-7.145788436066061, 7.145788436066061)"
Anti,12,Call_CDD,"(-15.403432379766896, 15.403432379766896)"
Anti,12,Put_CDD,"(61.82094740622476, 79.19788835426714)"
Cauca,1,Call_HDD,"(76.61004484506903, 128.31115603127802)"
Cauca,1,Put_HDD,"(-6.814327256138907, 6.814327256138907)"
Cauca,1,Call_CDD,"(-23.185626669106973, 40.78252322367702)"
Cauca,1,Put_CDD,"(-8.335024409095757, 8.335024409095757)"
Cauca,2,Call_HDD,"(57.482246383848214, 110.93643296694367)"
Cauca,2,Put_HDD,"(-7.045386689582119, 7.045386689582119)"
Cauca,2,Call_CDD,"(-33.06858732135328, 33.06858732135328)"
Cauca,2,Put_CDD,"(-2.4968332375184543, 14.738461699713206)"
Cauca,3,Call_HDD,"(74.3783621677297, 126.07947335393868)"
Cauca,3,Put_HDD,"(-6.814327256138907, 6.814327256138907)"
Cauca,3,Call_CDD,"(-25.942777241636207, 38.025372651147784)"
Cauca,3,Put_CDD,"(-8.335024409095757, 8.335024409095757)"
Cauca,4,Call_HDD,"(-26.277866452357305, 26.277866452357305)"
Cauca,4,Put_HDD,"(36.827407852314366, 50.68134464330865)"
Cauca,4,Call_CDD,"(87.43326993552756, 152.45881625435933)"
Cauca,4,Put_CDD,"(-8.472802741531053, 8.472802741531053)"
Cauca,5,Call_HDD,"(-11.858069694508888, 39.84304149170009)"
Cauca,5,Put_HDD,"(-6.814327256138907, 6.814327256138907)"
Cauca,5,Call_CDD,"(44.16454167945268, 108.13269157223668)"
Cauca,5,Put_CDD,"(-8.335024409095757, 8.335024409095757)"
Cauca,6,Call_HDD,"(18.437754035828956, 70.99348694054356)"
Cauca,6,Put_HDD,"(-6.926968395497138, 6.926968395497138)"
Cauca,6,Call_CDD,"(-32.512773159415886, 32.512773159415886)"
Cauca,6,Put_CDD,"(-1.246782181369432, 15.698823301692673)"
Cauca,7,Call_HDD,"(-25.85055559310449, 25.85055559310449)"
Cauca,7,Put_HDD,"(-1.2377238646112732, 12.39093064766654)"
Cauca,7,Call_CDD,"(207.3744314366097, 271.3425813293937)"
Cauca,7,Put_CDD,"(-8.335024409095757, 8.335024409095757)"
Cauca,8,Call_HDD,"(-25.85055559310449, 25.85055559310449)"
Cauca,8,Put_HDD,"(46.986675337812684, 60.615329850090504)"
Cauca,8,Call_CDD,"(233.18620470751617, 297.15435460030017)"
Cauca,8,Put_CDD,"(-8.335024409095757, 8.335024409095757)"
Cauca,9,Call_HDD,"(-26.277866452357305, 26.277866452357305)"
Cauca,9,Put_HDD,"(28.192667221013874, 42.046604012008146)"
Cauca,9,Call_CDD,"(29.941860542989915, 94.96740686182169)"
Cauca,9,Put_CDD,"(-8.472802741531053, 8.472802741531053)"
Cauca,10,Call_HDD,"(24.931180133239625, 76.63229131944861)"
Cauca,10,Put_HDD,"(-6.814327256138907, 6.814327256138907)"
Cauca,10,Call_CDD,"(4.210384895354306, 68.1785347881383)"
Cauca,10,Put_CDD,"(-8.335024409095757, 8.335024409095757)"
Cauca,11,Call_HDD,"(163.77503921756343, 216.33077212227803)"
Cauca,11,Put_HDD,"(-6.926968395497138, 6.926968395497138)"
Cauca,11,Call_CDD,"(-32.512773159415886, 32.512773159415886)"
Cauca,11,Put_CDD,"(47.825284654051906, 64.77089013711401)"
Cauca,12,Call_HDD,"(199.2230333817459, 250.9241445679549)"
Cauca,12,Put_HDD,"(-6.814327256138907, 6.814327256138907)"
Cauca,12,Call_CDD,"(-31.984074946391996, 31.984074946391996)"
Cauca,12,Put_CDD,"(62.87472554370205, 79.54477436189356)"
Narino,1,Call_HDD,"(204.56659791722632, 269.69344618430057)"
Narino,1,Put_HDD,"(-10.907216849089203, 10.907216849089203)"
Narino,1,Call_CDD,"(-32.85326256072471, 32.85326256072471)"
Narino,1,Put_CDD,"(65.70610292451555, 84.17066005653957)"
Narino,2,Call_HDD,"(219.28899999160978, 286.62416202127525)"
Narino,2,Put_HDD,"(-11.277057517267032, 11.277057517267032)"
Narino,2,Call_CDD,"(-33.96724725043909, 33.96724725043909)"
Narino,2,Put_CDD,"(41.356535991426966, 60.44718722626382)"
Narino,3,Call_HDD,"(11.87382459671538, 77.00067286378963)"
Narino,3,Put_HDD,"(-10.907216849089203, 10.907216849089203)"
Narino,3,Call_CDD,"(-32.85326256072471, 32.85326256072471)"
Narino,3,Put_CDD,"(-0.6136070412074179, 17.850950090816603)"
Narino,4,Call_HDD,"(-33.10169901496471, 33.10169901496471)"
Narino,4,Put_HDD,"(38.16493539743852, 60.33996267644381)"
Narino,4,Call_CDD,"(21.96867671988194, 88.76133368894442)"
Narino,4,Put_CDD,"(-9.384888550454907, 9.384888550454907)"
Narino,5,Call_HDD,"(-32.563424133537126, 32.563424133537126)"
Narino,5,Put_HDD,"(-2.2875708923338074, 19.526862805844598)"
Narino,5,Call_CDD,"(-11.85173503025295, 53.85479009119646)"
Narino,5,Put_CDD,"(-9.23227856601201, 9.23227856601201)"
Narino,6,Call_HDD,"(-33.10169901496471, 33.10169901496471)"
Narino,6,Put_HDD,"(50.46309395744527, 72.63812123645056)"
Narino,6,Call_CDD,"(38.708708950051474, 105.50136591911395)"
Narino,6,Put_CDD,"(-9.384888550454907, 9.384888550454907)"
Narino,7,Call_HDD,"(-32.563424133537126, 32.563424133537126)"
Narino,7,Put_HDD,"(51.415584834655824, 73.23001853283424)"
Narino,7,Call_CDD,"(133.19575551733334, 198.90228063878277)"
Narino,7,Put_CDD,"(-9.23227856601201, 9.23227856601201)"
Narino,8,Call_HDD,"(-32.563424133537126, 32.563424133537126)"
Narino,8,Put_HDD,"(64.03116464143835, 85.84559833961677)"
Narino,8,Call_CDD,"(284.82211343140204, 350.5286385528515)"
Narino,8,Put_CDD,"(-9.23227856601201, 9.23227856601201)"
Narino,9,Call_HDD,"(-33.10169901496471, 33.10169901496471)"
Narino,9,Put_HDD,"(55.0524999862469, 77.22752726525219)"
Narino,9,Call_CDD,"(72.25652580606962, 139.0491827751321)"
Narino,9,Put_CDD,"(-9.384888550454907, 9.384888550454907)"
Narino,10,Call_HDD,"(-0.9630524946242929, 64.16379577244996)"
Narino,10,Put_HDD,"(-10.907216849089203, 10.907216849089203)"
Narino,10,Call_CDD,"(-32.85326256072471, 32.85326256072471)"
Narino,10,Put_CDD,"(18.27011472147547, 36.73467185349949)"
Narino,11,Call_HDD,"(30.093109584466433, 96.29650761439585)"
Narino,11,Put_HDD,"(-11.087513639502648, 11.087513639502648)"
Narino,11,Call_CDD,"(-33.39632848453124, 33.39632848453124)"
Narino,11,Put_CDD,"(32.63056902651083, 51.40034612742065)"
Narino,12,Call_HDD,"(140.2114158026993, 205.33826406977354)"
Narino,12,Put_HDD,"(-10.907216849089203, 10.907216849089203)"
Narino,12,Call_CDD,"(-32.85326256072471, 32.85326256072471)"
Narino,12,Put_CDD,"(45.37809912915566, 63.842656261179684)"
NortSan,1,Call_HDD,"(64.86461428474145, 111.78871389297073)"
NortSan,1,Put_HDD,"(-10.134114702672708, 10.134114702672708)"
NortSan,1,Call_CDD,"(-22.51894123130768, 22.51894123130768)"
NortSan,1,Put_CDD,"(25.225908845401506, 46.06556278612051)"
NortSan,2,Call_HDD,"(155.86784500304952, 204.38304164298398)"
NortSan,2,Put_HDD,"(-10.477741111213415, 10.477741111213415)"
NortSan,2,Call_CDD,"(-23.28251092895604, 23.28251092895604)"
NortSan,2,Put_CDD,"(53.993703243025465, 75.53998579896944)"
NortSan,3,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,3,Put_HDD,"(33.677642266390706, 53.945871671736114)"
NortSan,3,Call_CDD,"(28.54512891323798, 73.58301137585335)"
NortSan,3,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,4,Call_HDD,"(49.57938550684867, 97.27914261501215)"
NortSan,4,Put_HDD,"(-10.3016320794567, 10.3016320794567)"
NortSan,4,Call_CDD,"(-5.6472612499505175, 40.13509945742493)"
NortSan,4,Put_CDD,"(-10.592067183918303, 10.592067183918303)"
NortSan,5,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,5,Put_HDD,"(25.870456432051288, 46.13868583739671)"
NortSan,5,Call_CDD,"(8.380953564070158, 53.41883602668551)"
NortSan,5,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,6,Call_HDD,"(-23.849878554081734, 23.849878554081734)"
NortSan,6,Put_HDD,"(41.4564989087462, 62.0597630676596)"
NortSan,6,Call_CDD,"(149.25849799706862, 195.04085870444408)"
NortSan,6,Put_CDD,"(-10.592067183918303, 10.592067183918303)"
NortSan,7,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,7,Put_HDD,"(61.0719264669854, 81.34015587233081)"
NortSan,7,Call_CDD,"(87.00492295354769, 132.04280541616305)"
NortSan,7,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,8,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,8,Put_HDD,"(64.80426678785486, 85.07249619320027)"
NortSan,8,Call_CDD,"(151.46460263548408, 196.50248509809944)"
NortSan,8,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,9,Call_HDD,"(-23.849878554081734, 23.849878554081734)"
NortSan,9,Put_HDD,"(-3.0387479692136203, 17.56451618969978)"
NortSan,9,Call_CDD,"(-22.891180353687723, 22.891180353687723)"
NortSan,9,Put_CDD,"(25.64123712943134, 46.825371497267945)"
NortSan,10,Call_HDD,"(-5.850889555180796, 41.073210053048484)"
NortSan,10,Put_HDD,"(-10.134114702672708, 10.134114702672708)"
NortSan,10,Call_CDD,"(65.2678926875337, 110.30577515014906)"
NortSan,10,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,11,Call_HDD,"(95.69254778224285, 143.3923048904063)"
NortSan,11,Put_HDD,"(-10.3016320794567, 10.3016320794567)"
NortSan,11,Call_CDD,"(-22.891180353687723, 22.891180353687723)"
NortSan,11,Put_CDD,"(60.04989801460914, 81.23403238244575)"
NortSan,12,Call_HDD,"(144.96846400604835, 191.8925636142776)"
NortSan,12,Put_HDD,"(-10.134114702672708, 10.134114702672708)"
NortSan,12,Call_CDD,"(-22.51894123130768, 22.51894123130768)"
NortSan,12,Put_CDD,"(62.47524901407369, 83.3149029547927)"
Tolima,1,Call_HDD,"(28.290768529525856, 100.2034313613205)"
Tolima,1,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,1,Call_CDD,"(-33.119920660742594, 33.119920660742594)"
Tolima,1,Put_CDD,"(3.8696975650114096, 19.70419544801224)"
Tolima,2,Call_HDD,"(68.63791024555567, 142.98897946828757)"
Tolima,2,Put_HDD,"(-10.554023387081406, 10.554023387081406)"
Tolima,2,Call_CDD,"(-34.24294716297892, 34.24294716297892)"
Tolima,2,Put_CDD,"(61.19280805688547, 77.56422029286338)"
Tolima,3,Call_HDD,"(-20.172762536909698, 51.73990029488493)"
Tolima,3,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,3,Call_CDD,"(14.909915558267784, 81.14975687975297)"
Tolima,3,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
Tolima,4,Call_HDD,"(-36.55069120896127, 36.55069120896127)"
Tolima,4,Put_HDD,"(19.680626227045522, 40.433890644952655)"
Tolima,4,Call_CDD,"(3.309766847961832, 70.64455575809396)"
Tolima,4,Put_CDD,"(-8.048121426462146, 8.048121426462146)"
Tolima,5,Call_HDD,"(-21.38487532265357, 50.52778750914106)"
Tolima,5,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,5,Call_CDD,"(-33.119920660742594, 33.119920660742594)"
Tolima,5,Put_CDD,"(24.158300545298342, 39.992798428299174)"
Tolima,6,Call_HDD,"(-36.55069120896127, 36.55069120896127)"
Tolima,6,Put_HDD,"(52.42120831127014, 73.17447272917727)"
Tolima,6,Call_CDD,"(65.79348945956141, 133.12827836969353)"
Tolima,6,Put_CDD,"(-8.048121426462146, 8.048121426462146)"
Tolima,7,Call_HDD,"(-35.95633141589732, 35.95633141589732)"
Tolima,7,Put_HDD,"(28.712465738560716, 49.12825621173969)"
Tolima,7,Call_CDD,"(104.53389087048666, 170.77373219197185)"
Tolima,7,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
Tolima,8,Call_HDD,"(-35.95633141589732, 35.95633141589732)"
Tolima,8,Put_HDD,"(64.31524220769512, 84.73103268087411)"
Tolima,8,Call_CDD,"(269.10448978578125, 335.34433110726644)"
Tolima,8,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
Tolima,9,Call_HDD,"(-36.55069120896127, 36.55069120896127)"
Tolima,9,Put_HDD,"(55.29061967838176, 76.04388409628889)"
Tolima,9,Call_CDD,"(168.6023137874924, 235.93710269762454)"
Tolima,9,Put_CDD,"(-8.048121426462146, 8.048121426462146)"
Tolima,10,Call_HDD,"(234.86053689704724, 306.77319972884186)"
Tolima,10,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,10,Call_CDD,"(-33.119920660742594, 33.119920660742594)"
Tolima,10,Put_CDD,"(30.519772297705497, 46.35427018070633)"
Tolima,11,Call_HDD,"(235.47207639808016, 308.5734588160027)"
Tolima,11,Put_HDD,"(-10.376632208953566, 10.376632208953566)"
Tolima,11,Call_CDD,"(-33.667394455066066, 33.667394455066066)"
Tolima,11,Put_CDD,"(35.6724387621164, 51.76868161504069)"
Tolima,12,Call_HDD,"(145.03850200379662, 216.95116483559127)"
Tolima,12,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,12,Call_CDD,"(-12.057577994519626, 54.18226332696556)"
Tolima,12,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
